text,class,date,aspect
melhorar academia,0,2024-11-21 00:00:00+00:00,Áreas comuns
"Um dia após meu check-out entraram em contato comigo dizendo que eu saí do hotel sem fazer check-out e que eu não havia pago o estacionamento, refutei indicando o horário em que fiz o check-out no balcão e que consultassem suas câmeras e que fizessem seu serviço de acordo!",0,2025-01-21 00:00:00+00:00,Atendimento da equipe
"somente ficou a desejar o serviço de limpeza, um dia deixaram o quarto sem toalhas , outra vez sem papel  higiênico, mas problemas sempre resolvidos com rapidez",0,2024-08-23 00:00:00+00:00,Atendimento da equipe
"O ar condicionado é velho e era muito difícil alterar sua configuração (subir/baixar temperatura, aumentar ou diminuir o fluxo de ar).",0,2025-03-14 08:03:25+00:00,Quarto
O aparelho de ar condicionado é bem antigo e não gela adequadamente.,0,2024-01-06 11:18:41+00:00,Quarto
"Um dia após meu check-out entraram em contato comigo dizendo que eu saí do hotel sem fazer check-out e que eu não havia pago o estacionamento, refutei indicando o horário em que fiz o check-out no balcão e que consultassem suas câmeras e que fizessem seu serviço de acordo!",0,2025-01-21 00:00:00+00:00,Atendimento da equipe
a recepção pouco atenciosa,0,2025-03-18 00:00:00+00:00,Atendimento da equipe
Isso deixou o atendimento demorado.,0,2025-07-27 23:43:49+00:00,Atendimento da equipe
desde o serviço na piscina,0,2024-01-31 00:00:00+00:00,Áreas comuns
os travesseiros eram ruins,0,2024-03-19 18:37:23+00:00,Quarto
durante a noite apareceu um barata cascuda enorme pra desespero da minha mulher.,0,2024-11-25 00:00:00+00:00,Quarto
"Nossos travesseiros eram bem finos, acredito que por serem velhos, precisam ser trocados.",0,2024-01-06 11:18:41+00:00,Quarto
na área da piscina ficam tocando música alta o dia inteiro e escuta tudo nos quartos,0,2024-05-13 18:29:21+00:00,Áreas comuns
frigobar sujo com pedras de gelo,0,2024-01-18 00:00:00+00:00,Quarto
"O ar condicionado, está muito sujo, perdi dois dias da minha viajem pois peguei uma alergia. O ar condicionado vc dava pra ver a sujeira, FAZ ANOS QUE NÃO LIMPAM.",0,2025-05-23 00:00:00+00:00,Quarto
precisamos pedir 2x pra trocar as toalhas,0,2025-03-18 00:00:00+00:00,Quarto
Em função do grande movimento teve dias em que a piscina estava meio turva,0,2024-01-11 00:22:37+00:00,Áreas comuns
Cobra estacionamento.,0,2024-11-28 00:00:00+00:00,Áreas comuns
"O blackout não bloqueia a luz direito, o quarto fica claro.",0,2024-01-06 11:18:41+00:00,Quarto
"Está sujo e barulhento, pois está em reforma e não falaram nada.",0,2024-05-24 14:39:33+00:00,Quarto
E a fechadura ainda não estava funcionando bem.,0,2024-08-16 23:42:17+00:00,Quarto
frigobar sujo com pedras de gelo,0,2024-01-18 00:00:00+00:00,Quarto
"O único porém foi o ar condicionado que não estava dando conta do calor, 35 graus, precisou de algumas horas para refrescar ( o quarto ficava no final do corredor).",0,2024-11-21 00:00:00+00:00,Quarto
Os travesseiros eram muito finos e moles,0,2025-05-30 00:00:00+00:00,Quarto
Quartos não são limpos todos os dias,0,2025-03-18 00:00:00+00:00,Quarto
"reclamei que colocaram nos com um bebê de 1 ano no quarto virado pra geral, onde passava várias motos barulhentas a noite toda e tinha vários motores de ar condicionado embaixo da nossa janela, um barulho que parecia um ônibus ligado",0,2025-05-07 00:00:00+00:00,Quarto
"a maioria com a limpeza do quarto, e um problema crônico com a chave do quarto, me hospedei domingo e limparam o quarto na segunda e depois não limparam até quinta, quando reclamei com mais seriedade na recepção, aí limparam",0,2024-12-05 23:52:33+00:00,Quarto
desde o serviço na piscina,0,2024-02-01 01:52:22+00:00,Áreas comuns
"Piscinas excelentes, porém vi alguns bichos nela, poderiam limpar com uma frequencia maior",0,2024-11-14 14:49:35+00:00,Áreas comuns
"Apontaram o elevador e disseram (praticamente): ""É por ali"".",0,2024-08-20 17:01:49+00:00,Áreas comuns
"O hotel não deu nenhum esclarecimento satisfatório, disse apenas que a camareira não deve ter fechado a porta direito",0,2025-01-21 00:00:00+00:00,Atendimento da equipe
"Nossos travesseiros eram bem finos, acredito que por serem velhos, precisam ser trocados.",0,2024-01-06 11:18:41+00:00,Quarto
"O blackout não bloqueia a luz direito, o quarto fica claro.",0,2024-01-06 11:18:41+00:00,Quarto
Ar condicionado não deveria ser limpo há anos.,0,2025-04-25 00:00:00+00:00,Quarto
Elevadores não se comunicam portanto causa demora no uso para acessar os quartos.,0,2024-11-28 00:00:00+00:00,Áreas comuns
"Nossos travesseiros eram bem finos, acredito que por serem velhos, precisam ser trocados.",0,2024-01-06 11:18:41+00:00,Quarto
Elevadores não se comunicam portanto causa demora no uso para acessar os quartos.,0,2024-11-28 00:00:00+00:00,Áreas comuns
O ar condicionado aparentemente é um pouco antigo,0,2024-08-11 23:03:04+00:00,Quarto
Aparelhos de ar condicionado estavam desligados em plena manhã num calor absurdo,0,2024-03-22 00:00:00+00:00,Quarto
durante a noite apareceu um barata cascuda enorme pra desespero da minha mulher.,0,2024-11-25 00:00:00+00:00,Quarto
Em função do grande movimento teve dias em que a piscina estava meio turva,0,2024-01-11 00:22:37+00:00,Áreas comuns
Os travesseiros eram muito finos e moles,0,2025-05-30 00:00:00+00:00,Quarto
o colchão bem duro (para quem gosta não será problema),0,2024-02-02 13:08:29+00:00,Quarto
"Estacionamento coberto muito quente, sem nenhum tipo de ventilação.",0,2024-01-07 00:00:00+00:00,Áreas comuns
melhorar academia,0,2024-11-21 00:00:00+00:00,Áreas comuns
"O ar condicionado, está muito sujo, perdi dois dias da minha viajem pois peguei uma alergia. O ar condicionado vc dava pra ver a sujeira, FAZ ANOS QUE NÃO LIMPAM.",0,2025-05-23 00:00:00+00:00,Quarto
Noite mal dormida por incompetência do ar condicionado.,0,2024-12-01 13:53:07+00:00,Quarto
"E ainda por cima tinha um refletor ligado a noite toda que clareava o quarto, reclamei e nada fizeram pra tentar resolver",0,2025-05-07 00:00:00+00:00,Quarto
"jacuzzi aquecida, pena as piscinas não serem, não tendo como utilizar em julho",0,2025-07-23 18:40:10+00:00,Áreas comuns
melhorar academia,0,2024-11-21 00:00:00+00:00,Áreas comuns
desde o serviço na piscina,0,2024-02-01 01:52:22+00:00,Áreas comuns
"Jacuzzi suja, choveu não limparam.",0,2024-05-24 14:39:33+00:00,Áreas comuns
melhorar academia,0,2024-11-21 00:00:00+00:00,Áreas comuns
"Gavetas estavam sujas também e mesmo após o serviço de quarto passar, era perceptivel que não havia sido limpo propriamente, apenas recolhido o lixo e dobrado os lençois",0,2024-03-19 18:37:23+00:00,Quarto
Falta sempre toalhas do quarto e papel higiênico. Tive que pedir várias vezes.,0,2024-05-24 14:39:33+00:00,Quarto
Quarto poderia ser mais iluminado.,0,2024-06-28 23:28:17+00:00,Quarto
"Do inicio ao fim houve descaso dos recepcionistas, mto mal educados, principalmente a moça. Daiana se não me engano, super mal educada",0,2024-07-22 15:07:43+00:00,Atendimento da equipe
Cobra estacionamento.,0,2024-11-28 00:00:00+00:00,Áreas comuns
O hotel deu pouca atenção a este caso somente comentando que a camareira esqueceu a porta aberta,0,2025-01-24 03:25:27+00:00,Atendimento da equipe
travesseiros de baixa qualidade,0,2024-11-26 12:14:16+00:00,Quarto
na área da piscina ficam tocando música alta o dia inteiro e escuta tudo nos quartos,0,2024-05-13 18:29:21+00:00,Áreas comuns
frigobar sujo com pedras de gelo,0,2024-01-18 00:00:00+00:00,Quarto
"treine mais a equipe da recepção e foque na contratação de mais camareiras, para que assim, elas tenham possibilidade de limpar de verdade os quartos",0,2024-03-19 18:37:23+00:00,Atendimento da equipe
academia fraca,0,2025-08-10 00:00:00+00:00,Áreas comuns
"jacuzzi aquecida, pena as piscinas não serem, não tendo como utilizar em julho",0,2025-07-23 18:40:10+00:00,Áreas comuns
as toalhas poderiam ser maiores e mais macias.,0,2025-05-30 00:00:00+00:00,Quarto
"O sensor da porta do elevador não funciona direito, tomei uma portada e vi outros hóspedes tomando portada.",0,2025-03-14 08:03:25+00:00,Áreas comuns
na área da piscina ficam tocando música alta o dia inteiro e escuta tudo nos quartos,0,2024-05-13 18:29:21+00:00,Áreas comuns
"O único porém foi o ar condicionado que não estava dando conta do calor, 35 graus, precisou de algumas horas para refrescar ( o quarto ficava no final do corredor).",0,2024-11-21 00:00:00+00:00,Quarto
precisamos pedir 2x pra trocar as toalhas,0,2025-03-18 00:00:00+00:00,Quarto
Da recepção mais ou menos.,0,2024-05-24 14:39:33+00:00,Atendimento da equipe
Só faltou academia que já está no projeto deles para este ano,0,2024-01-19 13:21:33+00:00,Áreas comuns
Quartos não são limpos todos os dias,0,2025-03-18 00:00:00+00:00,Quarto
Da recepção mais ou menos.,0,2024-05-24 14:39:33+00:00,Atendimento da equipe
Aparelhos de ar condicionado estavam desligados em plena manhã num calor absurdo,0,2024-03-22 00:00:00+00:00,Quarto
"Jacuzzi suja, choveu não limparam.",0,2024-05-24 00:00:00+00:00,Áreas comuns
"Piscinas excelentes, porém vi alguns bichos nela, poderiam limpar com uma frequencia maior",0,2024-11-14 14:49:35+00:00,Áreas comuns
Quartos não são limpos todos os dias,0,2025-03-18 00:00:00+00:00,Quarto
"a maioria com a limpeza do quarto, e um problema crônico com a chave do quarto, me hospedei domingo e limparam o quarto na segunda e depois não limparam até quinta, quando reclamei com mais seriedade na recepção, aí limparam",0,2024-12-05 23:52:33+00:00,Quarto
"a maioria com a limpeza do quarto, e um problema crônico com a chave do quarto, me hospedei domingo e limparam o quarto na segunda e depois não limparam até quinta, quando reclamei com mais seriedade na recepção, aí limparam",0,2024-12-05 23:52:33+00:00,Quarto
3 ar condicionado estavam desligados num calor absurdo logo pela manhã,0,2024-03-22 23:53:12+00:00,Quarto
Simples e antigos.,0,2025-04-25 00:00:00+00:00,Quarto
"treine mais a equipe da recepção e foque na contratação de mais camareiras, para que assim, elas tenham possibilidade de limpar de verdade os quartos",0,2024-03-19 18:37:23+00:00,Atendimento da equipe
Recepção pouco cordial e pouco treinada,0,2025-08-10 00:00:00+00:00,Atendimento da equipe
a recepção pouco atenciosa,0,2025-03-18 00:00:00+00:00,Atendimento da equipe
desde o serviço na piscina,0,2024-01-31 00:00:00+00:00,Áreas comuns
melhorar academia,0,2024-11-21 00:00:00+00:00,Áreas comuns
Falta sempre toalhas do quarto e papel higiênico. Tive que pedir várias vezes.,0,2024-05-24 00:00:00+00:00,Quarto
o colchão bem duro (para quem gosta não será problema),0,2024-02-02 13:08:29+00:00,Quarto
3 ar condicionado estavam desligados num calor absurdo logo pela manhã,0,2024-03-22 23:53:12+00:00,Quarto
"E ainda por cima tinha um refletor ligado a noite toda que clareava o quarto, reclamei e nada fizeram pra tentar resolver",0,2025-05-07 00:00:00+00:00,Quarto
Quarto muito quente (ar condicionado não é grande o suficiente ) e barulhento demais.,0,2025-03-21 18:50:48+00:00,Quarto
melhorar academia,0,2024-11-21 00:00:00+00:00,Áreas comuns
Da recepção mais ou menos.,0,2024-05-24 14:39:33+00:00,Atendimento da equipe
"em mais de uma situação essa equipe foi grossa e impaciente, ao ponto de interromper conversa com cliente para falar na rádio interna, revirar o olho e responder dúvidas ou realizar explicações com cara ruim",0,2024-03-19 18:37:23+00:00,Atendimento da equipe
Os travesseiros eram muito finos e moles,0,2025-05-30 00:00:00+00:00,Quarto
"Área externa da piscina , as poltronas tiraram as almofadas porque choveu, parou de chover não colocaram de novo.",0,2024-05-24 14:39:33+00:00,Áreas comuns
"Fizemos o check in, o recepcionista entregou os cartões e apenas apontou o elevador.",0,2024-08-16 23:42:17+00:00,Atendimento da equipe
"a maioria com a limpeza do quarto, e um problema crônico com a chave do quarto, me hospedei domingo e limparam o quarto na segunda e depois não limparam até quinta, quando reclamei com mais seriedade na recepção, aí limparam",0,2024-12-05 23:52:33+00:00,Quarto
"O sensor da porta do elevador não funciona direito, tomei uma portada e vi outros hóspedes tomando portada.",0,2025-03-14 08:03:25+00:00,Áreas comuns
"reclamei que colocaram nos com um bebê de 1 ano no quarto virado pra geral, onde passava várias motos barulhentas a noite toda e tinha vários motores de ar condicionado embaixo da nossa janela, um barulho que parecia um ônibus ligado",0,2025-05-07 00:00:00+00:00,Quarto
desde o serviço na piscina,0,2024-02-01 01:52:22+00:00,Áreas comuns
O aparelho de ar condicionado é bem antigo e não gela adequadamente.,0,2024-01-06 11:18:41+00:00,Quarto
Só faltou academia que já está no projeto deles para este ano,0,2024-01-19 13:21:33+00:00,Áreas comuns
Simples e antigos.,0,2025-04-25 00:00:00+00:00,Quarto
Em função do grande movimento teve dias em que a piscina estava meio turva,0,2024-01-11 00:22:37+00:00,Áreas comuns
"O ar condicionado, está muito sujo, perdi dois dias da minha viajem pois peguei uma alergia. O ar condicionado vc dava pra ver a sujeira, FAZ ANOS QUE NÃO LIMPAM.",0,2025-05-23 00:00:00+00:00,Quarto
aparelhos de ar condicionado apesar de funcionar são antigos e precisam de modernização,0,2024-11-26 12:14:16+00:00,Quarto
precisamos pedir 2x pra trocar as toalhas,0,2025-03-18 00:00:00+00:00,Quarto
"a limpeza das piscinas, tivemos que pedir pra limpar a piscina infantil onde estávamos, muitas folhas e bichos",0,2024-11-02 15:25:26+00:00,Áreas comuns
"jacuzzi aquecida, pena as piscinas não serem, não tendo como utilizar em julho",0,2025-07-23 18:40:10+00:00,Áreas comuns
Em função do grande movimento teve dias em que a piscina estava meio turva,0,2024-01-11 00:22:37+00:00,Áreas comuns
"A vedação acústica do meu quarto era ruim,.estava para rua e o barulho de carros e motos era muito nítido.",0,2024-04-19 12:56:50+00:00,Quarto
"Eles não queriam trocar nosso quarto, só trocaram depois que dissemos que não iríamos aceitar passar mais uma noite sem conseguir dormir devido ao calor.",0,2025-03-01 00:00:00+00:00,Quarto
"Um dia após meu check-out entraram em contato comigo dizendo que eu saí do hotel sem fazer check-out e que eu não havia pago o estacionamento, refutei indicando o horário em que fiz o check-out no balcão e que consultassem suas câmeras e que fizessem seu serviço de acordo!",0,2025-01-21 00:00:00+00:00,Atendimento da equipe
Aparelhos de ar condicionado estavam desligados em plena manhã num calor absurdo,0,2024-03-22 00:00:00+00:00,Quarto
só achei o ar-condicionado do quarto fraco,0,2024-10-18 13:01:06+00:00,Quarto
Ar condicionado do quarto não resfria.,0,2024-11-28 00:00:00+00:00,Quarto
só achei o ar-condicionado do quarto fraco,0,2024-10-18 13:01:06+00:00,Quarto
"Nossos travesseiros eram bem finos, acredito que por serem velhos, precisam ser trocados.",0,2024-01-06 11:18:41+00:00,Quarto
Mas cobra estacionamento separadamente,0,2024-07-15 00:36:12+00:00,Áreas comuns
Quarto muito quente (ar condicionado não é grande o suficiente ) e barulhento demais.,0,2025-03-21 18:50:48+00:00,Quarto
"jacuzzi aquecida, pena as piscinas não serem, não tendo como utilizar em julho",0,2025-07-23 18:40:10+00:00,Áreas comuns
falta ventilador no elevador,0,2024-01-01 21:04:19+00:00,Áreas comuns
academia fraca,0,2025-08-10 00:00:00+00:00,Áreas comuns
"Apontaram o elevador e disseram (praticamente): ""É por ali"".",0,2024-08-20 17:01:49+00:00,Áreas comuns
Da recepção mais ou menos.,0,2024-05-24 00:00:00+00:00,Atendimento da equipe
"O ar condicionado chovia pela máquina dentro do quarto, a noite inteira escorrendo e pingando água dentro do quarto, máquina antiga e faz muito barulho",0,2025-04-22 15:26:08+00:00,Quarto
"O único porém foi o ar condicionado que não estava dando conta do calor, 35 graus, precisou de algumas horas para refrescar ( o quarto ficava no final do corredor).",0,2024-11-21 00:00:00+00:00,Quarto
O chão do quarto todo ensebado grudento,0,2024-01-18 00:00:00+00:00,Quarto
"Área externa da piscina , as poltronas tiraram as almofadas porque choveu, parou de chover não colocaram de novo.",0,2024-05-24 14:39:33+00:00,Áreas comuns
Recepção pouco cordial e pouco treinada,0,2025-08-10 00:00:00+00:00,Atendimento da equipe
"Cheguei a ficar 10 minutos esperando o elevador, pois o mesmo elevador utilizado pelos hóspedes é utilizado pela equipe do hotel com aqueles carrinhos de serviço que são grandes.",0,2025-03-14 08:03:25+00:00,Áreas comuns
"A vedação acústica do meu quarto era ruim,.estava para rua e o barulho de carros e motos era muito nítido.",0,2024-04-19 12:56:50+00:00,Quarto
as toalhas poderiam ser maiores e mais macias.,0,2025-05-30 00:00:00+00:00,Quarto
melhorar academia,0,2024-11-21 00:00:00+00:00,Áreas comuns
"música da piscina, achei muito alta, no dia que fui estava tocando Eminem, achei cansativo",0,2024-01-24 00:00:00+00:00,Áreas comuns
Ar condicionado não deveria ser limpo há anos.,0,2025-04-25 00:00:00+00:00,Quarto
Recepção pouco cordial e pouco treinada,0,2025-08-10 00:00:00+00:00,Atendimento da equipe
Recepção pouco cordial e pouco treinada,0,2025-08-10 00:00:00+00:00,Atendimento da equipe
Os travesseiros eram muito finos e moles,0,2025-05-30 00:00:00+00:00,Quarto
"Está sujo e barulhento, pois está em reforma e não falaram nada.",0,2024-05-24 14:39:33+00:00,Quarto
limpeza e arrumação do quarto bem ruins,0,2025-08-10 00:00:00+00:00,Quarto
melhorar academia,0,2024-11-21 00:00:00+00:00,Áreas comuns
"Alguns Funcionários da recepção necessitam de um bom treinamento para atendimento aos hóspedes. Falta-lhes cortesia, bom senso e vontade.",0,2024-02-07 01:42:28+00:00,Atendimento da equipe
E a fechadura ainda não estava funcionando bem.,0,2024-08-16 23:42:17+00:00,Quarto
na área da piscina ficam tocando música alta o dia inteiro e escuta tudo nos quartos,0,2024-05-13 18:29:21+00:00,Áreas comuns
melhorar academia,0,2024-11-21 00:00:00+00:00,Áreas comuns
"o hotel tem estacionamento próprio, porém não tem menção de cobrança adicional, a surpresa vem na hora da reserva, particularmente não gosto de coisas assim",0,2024-01-28 23:49:14+00:00,Áreas comuns
Só faltou academia que já está no projeto deles para este ano,0,2024-01-19 13:21:33+00:00,Áreas comuns
aparelhos de ar condicionado apesar de funcionar são antigos e precisam de modernização,0,2024-11-26 12:14:16+00:00,Quarto
melhorar academia,0,2024-11-21 00:00:00+00:00,Áreas comuns
"Eles não queriam trocar nosso quarto, só trocaram depois que dissemos que não iríamos aceitar passar mais uma noite sem conseguir dormir devido ao calor.",0,2025-03-01 00:00:00+00:00,Quarto
O aparelho de ar condicionado é bem antigo e não gela adequadamente.,0,2024-01-06 11:18:41+00:00,Quarto
a única coisa que fiquei meia chateada foi com a recepção na hora do chekin,0,2024-04-04 23:19:50+00:00,Atendimento da equipe
melhorar academia,0,2024-11-21 00:00:00+00:00,Áreas comuns
aparelhos de ar condicionado apesar de funcionar são antigos e precisam de modernização,0,2024-11-26 12:14:16+00:00,Quarto
precisamos pedir 2x pra trocar as toalhas,0,2025-03-18 00:00:00+00:00,Quarto
melhorar academia,0,2024-11-21 00:00:00+00:00,Áreas comuns
"em mais de uma situação essa equipe foi grossa e impaciente, ao ponto de interromper conversa com cliente para falar na rádio interna, revirar o olho e responder dúvidas ou realizar explicações com cara ruim",0,2024-03-19 18:37:23+00:00,Atendimento da equipe
"o hotel tem estacionamento próprio, porém não tem menção de cobrança adicional, a surpresa vem na hora da reserva, particularmente não gosto de coisas assim",0,2024-01-28 23:49:14+00:00,Áreas comuns
"Um dia após meu check-out entraram em contato comigo dizendo que eu saí do hotel sem fazer check-out e que eu não havia pago o estacionamento, refutei indicando o horário em que fiz o check-out no balcão e que consultassem suas câmeras e que fizessem seu serviço de acordo!",0,2025-01-21 00:00:00+00:00,Atendimento da equipe
Os travesseiros eram muito finos e moles,0,2025-05-30 00:00:00+00:00,Quarto
O hotel deu pouca atenção a este caso somente comentando que a camareira esqueceu a porta aberta,0,2025-01-24 03:25:27+00:00,Atendimento da equipe
"a limpeza das piscinas, tivemos que pedir pra limpar a piscina infantil onde estávamos, muitas folhas e bichos",0,2024-11-02 15:25:26+00:00,Áreas comuns
O chão do quarto todo ensebado grudento,0,2024-01-18 00:00:00+00:00,Quarto
"O ar condicionado chovia pela máquina dentro do quarto, a noite inteira escorrendo e pingando água dentro do quarto, máquina antiga e faz muito barulho",0,2025-04-22 15:26:08+00:00,Quarto
só achei o ar-condicionado do quarto fraco,0,2024-10-18 13:01:06+00:00,Quarto
Da recepção mais ou menos.,0,2024-05-24 14:39:33+00:00,Atendimento da equipe
Ar condicionado do quarto não resfria.,0,2024-11-28 00:00:00+00:00,Quarto
melhorar academia,0,2024-11-21 00:00:00+00:00,Áreas comuns
Quarto sujo,0,2024-01-18 00:00:00+00:00,Quarto
Ar condicionado do quarto não resfria.,0,2024-11-28 00:00:00+00:00,Quarto
Falta sempre toalhas do quarto e papel higiênico. Tive que pedir várias vezes.,0,2024-05-24 00:00:00+00:00,Quarto
os travesseiros eram ruins,0,2024-03-19 18:37:23+00:00,Quarto
"O blackout não bloqueia a luz direito, o quarto fica claro.",0,2024-01-06 11:18:41+00:00,Quarto
O aparelho de ar condicionado é bem antigo e não gela adequadamente.,0,2024-01-06 11:18:41+00:00,Quarto
deixou MUITO a desejar em relação a limpeza do quarto 403,0,2024-07-21 00:00:00+00:00,Quarto
"Piscinas excelentes, porém vi alguns bichos nela, poderiam limpar com uma frequencia maior",0,2024-11-14 14:49:35+00:00,Áreas comuns
O chão do quarto todo ensebado grudento,0,2024-01-18 00:00:00+00:00,Quarto
"O blackout não bloqueia a luz direito, o quarto fica claro.",0,2024-01-06 11:18:41+00:00,Quarto
"O blackout não bloqueia a luz direito, o quarto fica claro.",0,2024-01-06 11:18:41+00:00,Quarto
E a fechadura ainda não estava funcionando bem.,0,2024-08-16 23:42:17+00:00,Quarto
Elevadores não se comunicam portanto causa demora no uso para acessar os quartos.,0,2024-11-28 00:00:00+00:00,Áreas comuns
"Jacuzzi suja, choveu não limparam.",0,2024-05-24 14:39:33+00:00,Áreas comuns
só achei o ar-condicionado do quarto fraco,0,2024-10-18 13:01:06+00:00,Quarto
"o hotel tem estacionamento próprio, porém não tem menção de cobrança adicional, a surpresa vem na hora da reserva, particularmente não gosto de coisas assim",0,2024-01-28 23:49:14+00:00,Áreas comuns
Só faltou academia que já está no projeto deles para este ano,0,2024-01-19 13:21:33+00:00,Áreas comuns
"O ESTACIONAMENTO É DO HOTEL, POREM PAGO, R$ 10,00 O DESCOBERTO E R$ 20,00 O COBERTO...POR DIA, minha única ressalva e chateação com relação a tudo, uma vez que nem no site e nem aqui na hotéis.com mencionava o custo extra.",0,2024-01-28 00:00:00+00:00,Áreas comuns
"O blackout não bloqueia a luz direito, o quarto fica claro.",0,2024-01-06 11:18:41+00:00,Quarto
Cobra estacionamento.,0,2024-11-28 00:00:00+00:00,Áreas comuns
Os travesseiros eram muito finos e moles,0,2025-05-30 00:00:00+00:00,Quarto
Em função do grande movimento teve dias em que a piscina estava meio turva,0,2024-01-11 00:22:37+00:00,Áreas comuns
"O ar condicionado chovia pela máquina dentro do quarto, a noite inteira escorrendo e pingando água dentro do quarto, máquina antiga e faz muito barulho",0,2025-04-22 15:26:08+00:00,Quarto
a única coisa que fiquei meia chateada foi com a recepção na hora do chekin,0,2024-04-04 23:19:50+00:00,Atendimento da equipe
"O ar condicionado chovia pela máquina dentro do quarto, a noite inteira escorrendo e pingando água dentro do quarto, máquina antiga e faz muito barulho",0,2025-04-22 15:26:08+00:00,Quarto
atendimento amador do check in,0,2025-02-16 01:35:45+00:00,Atendimento da equipe
"somente ficou a desejar o serviço de limpeza, um dia deixaram o quarto sem toalhas , outra vez sem papel  higiênico, mas problemas sempre resolvidos com rapidez",0,2024-08-23 00:00:00+00:00,Atendimento da equipe
"Alguns Funcionários da recepção necessitam de um bom treinamento para atendimento aos hóspedes. Falta-lhes cortesia, bom senso e vontade.",0,2024-02-07 01:42:28+00:00,Atendimento da equipe
deixou MUITO a desejar em relação a limpeza do quarto 403,0,2024-07-21 00:00:00+00:00,Quarto
