text,class,date,aspect,score
Os travesseiros eram muito finos e moles,0,2025-05-30 00:00:00+00:00,Quarto,0.013809099
Quartos não são limpos todos os dias,0,2025-03-18 00:00:00+00:00,Quarto,0.025013901
"reclamei que colocaram nos com um bebê de 1 ano no quarto virado pra geral, onde passava várias motos barulhentas a noite toda e tinha vários motores de ar condicionado embaixo da nossa janela, um barulho que parecia um ônibus ligado",0,2025-05-07 00:00:00+00:00,Quarto,0.06704513
"a maioria com a limpeza do quarto, e um problema crônico com a chave do quarto, me hospedei domingo e limparam o quarto na segunda e depois não limparam até quinta, quando reclamei com mais seriedade na recepção, aí limparam",0,2024-12-05 23:52:33+00:00,Quarto,0.019525962
desde o serviço na piscina,0,2024-02-01 01:52:22+00:00,Áreas comuns,0.51230377
"Piscinas excelentes, porém vi alguns bichos nela, poderiam limpar com uma frequencia maior",0,2024-11-14 14:49:35+00:00,Áreas comuns,0.6875877
"Apontaram o elevador e disseram (praticamente): ""É por ali"".",0,2024-08-20 17:01:49+00:00,Áreas comuns,0.23096265
"O hotel não deu nenhum esclarecimento satisfatório, disse apenas que a camareira não deve ter fechado a porta direito",0,2025-01-21 00:00:00+00:00,Atendimento da equipe,0.011225052
"Nossos travesseiros eram bem finos, acredito que por serem velhos, precisam ser trocados.",0,2024-01-06 11:18:41+00:00,Quarto,0.012093849
"O blackout não bloqueia a luz direito, o quarto fica claro.",0,2024-01-06 11:18:41+00:00,Quarto,0.2442413
Ar condicionado não deveria ser limpo há anos.,0,2025-04-25 00:00:00+00:00,Quarto,0.0170963
Elevadores não se comunicam portanto causa demora no uso para acessar os quartos.,0,2024-11-28 00:00:00+00:00,Áreas comuns,0.032179125
"Nossos travesseiros eram bem finos, acredito que por serem velhos, precisam ser trocados.",0,2024-01-06 11:18:41+00:00,Quarto,0.012093849
Elevadores não se comunicam portanto causa demora no uso para acessar os quartos.,0,2024-11-28 00:00:00+00:00,Áreas comuns,0.032179125
O ar condicionado aparentemente é um pouco antigo,0,2024-08-11 23:03:04+00:00,Quarto,0.41318744
Aparelhos de ar condicionado estavam desligados em plena manhã num calor absurdo,0,2024-03-22 00:00:00+00:00,Quarto,0.014752853
durante a noite apareceu um barata cascuda enorme pra desespero da minha mulher.,0,2024-11-25 00:00:00+00:00,Quarto,0.17633024
Em função do grande movimento teve dias em que a piscina estava meio turva,0,2024-01-11 00:22:37+00:00,Áreas comuns,0.28139716
Os travesseiros eram muito finos e moles,0,2025-05-30 00:00:00+00:00,Quarto,0.013809099
o colchão bem duro (para quem gosta não será problema),0,2024-02-02 13:08:29+00:00,Quarto,0.7803391
"Estacionamento coberto muito quente, sem nenhum tipo de ventilação.",0,2024-01-07 00:00:00+00:00,Áreas comuns,0.085417934
melhorar academia,0,2024-11-21 00:00:00+00:00,Áreas comuns,0.34122702
"O ar condicionado, está muito sujo, perdi dois dias da minha viajem pois peguei uma alergia. O ar condicionado vc dava pra ver a sujeira, FAZ ANOS QUE NÃO LIMPAM.",0,2025-05-23 00:00:00+00:00,Quarto,0.011003235
Noite mal dormida por incompetência do ar condicionado.,0,2024-12-01 13:53:07+00:00,Quarto,0.014417249
"E ainda por cima tinha um refletor ligado a noite toda que clareava o quarto, reclamei e nada fizeram pra tentar resolver",0,2025-05-07 00:00:00+00:00,Quarto,0.014933486
"jacuzzi aquecida, pena as piscinas não serem, não tendo como utilizar em julho",0,2025-07-23 18:40:10+00:00,Áreas comuns,0.033723358
melhorar academia,0,2024-11-21 00:00:00+00:00,Áreas comuns,0.34122702
desde o serviço na piscina,0,2024-02-01 01:52:22+00:00,Áreas comuns,0.51230377
"Jacuzzi suja, choveu não limparam.",0,2024-05-24 14:39:33+00:00,Áreas comuns,0.009390119
melhorar academia,0,2024-11-21 00:00:00+00:00,Áreas comuns,0.34122702
"Gavetas estavam sujas também e mesmo após o serviço de quarto passar, era perceptivel que não havia sido limpo propriamente, apenas recolhido o lixo e dobrado os lençois",0,2024-03-19 18:37:23+00:00,Quarto,0.01546131
Falta sempre toalhas do quarto e papel higiênico. Tive que pedir várias vezes.,0,2024-05-24 14:39:33+00:00,Quarto,0.017207826
Quarto poderia ser mais iluminado.,0,2024-06-28 23:28:17+00:00,Quarto,0.5899443
"Do inicio ao fim houve descaso dos recepcionistas, mto mal educados, principalmente a moça. Daiana se não me engano, super mal educada",0,2024-07-22 15:07:43+00:00,Atendimento da equipe,0.013441135
Cobra estacionamento.,0,2024-11-28 00:00:00+00:00,Áreas comuns,0.75549936
O hotel deu pouca atenção a este caso somente comentando que a camareira esqueceu a porta aberta,0,2025-01-24 03:25:27+00:00,Atendimento da equipe,0.01098112
travesseiros de baixa qualidade,0,2024-11-26 12:14:16+00:00,Quarto,0.040358115
na área da piscina ficam tocando música alta o dia inteiro e escuta tudo nos quartos,0,2024-05-13 18:29:21+00:00,Áreas comuns,0.45850843
frigobar sujo com pedras de gelo,0,2024-01-18 00:00:00+00:00,Quarto,0.022898594
"treine mais a equipe da recepção e foque na contratação de mais camareiras, para que assim, elas tenham possibilidade de limpar de verdade os quartos",0,2024-03-19 18:37:23+00:00,Atendimento da equipe,0.22000943
academia fraca,0,2025-08-10 00:00:00+00:00,Áreas comuns,0.720637
"jacuzzi aquecida, pena as piscinas não serem, não tendo como utilizar em julho",0,2025-07-23 18:40:10+00:00,Áreas comuns,0.033723358
as toalhas poderiam ser maiores e mais macias.,0,2025-05-30 00:00:00+00:00,Quarto,0.44440272
"O sensor da porta do elevador não funciona direito, tomei uma portada e vi outros hóspedes tomando portada.",0,2025-03-14 08:03:25+00:00,Áreas comuns,0.05691008
na área da piscina ficam tocando música alta o dia inteiro e escuta tudo nos quartos,0,2024-05-13 18:29:21+00:00,Áreas comuns,0.45850843
"O único porém foi o ar condicionado que não estava dando conta do calor, 35 graus, precisou de algumas horas para refrescar ( o quarto ficava no final do corredor).",0,2024-11-21 00:00:00+00:00,Quarto,0.07660102
precisamos pedir 2x pra trocar as toalhas,0,2025-03-18 00:00:00+00:00,Quarto,0.3838137
Da recepção mais ou menos.,0,2024-05-24 14:39:33+00:00,Atendimento da equipe,0.4521379
Só faltou academia que já está no projeto deles para este ano,0,2024-01-19 13:21:33+00:00,Áreas comuns,0.7315386
Quartos não são limpos todos os dias,0,2025-03-18 00:00:00+00:00,Quarto,0.025013901
Da recepção mais ou menos.,0,2024-05-24 14:39:33+00:00,Atendimento da equipe,0.4521379
Aparelhos de ar condicionado estavam desligados em plena manhã num calor absurdo,0,2024-03-22 00:00:00+00:00,Quarto,0.014752853
"Jacuzzi suja, choveu não limparam.",0,2024-05-24 00:00:00+00:00,Áreas comuns,0.009390119
"Piscinas excelentes, porém vi alguns bichos nela, poderiam limpar com uma frequencia maior",0,2024-11-14 14:49:35+00:00,Áreas comuns,0.6875877
Quartos não são limpos todos os dias,0,2025-03-18 00:00:00+00:00,Quarto,0.025013901
"a maioria com a limpeza do quarto, e um problema crônico com a chave do quarto, me hospedei domingo e limparam o quarto na segunda e depois não limparam até quinta, quando reclamei com mais seriedade na recepção, aí limparam",0,2024-12-05 23:52:33+00:00,Quarto,0.019525962
"a maioria com a limpeza do quarto, e um problema crônico com a chave do quarto, me hospedei domingo e limparam o quarto na segunda e depois não limparam até quinta, quando reclamei com mais seriedade na recepção, aí limparam",0,2024-12-05 23:52:33+00:00,Quarto,0.019525962
3 ar condicionado estavam desligados num calor absurdo logo pela manhã,0,2024-03-22 23:53:12+00:00,Quarto,0.012870167
Simples e antigos.,0,2025-04-25 00:00:00+00:00,Quarto,0.7572626
"treine mais a equipe da recepção e foque na contratação de mais camareiras, para que assim, elas tenham possibilidade de limpar de verdade os quartos",0,2024-03-19 18:37:23+00:00,Atendimento da equipe,0.22000943
Recepção pouco cordial e pouco treinada,0,2025-08-10 00:00:00+00:00,Atendimento da equipe,0.063297965
a recepção pouco atenciosa,0,2025-03-18 00:00:00+00:00,Atendimento da equipe,0.1057862
desde o serviço na piscina,0,2024-01-31 00:00:00+00:00,Áreas comuns,0.51230377
melhorar academia,0,2024-11-21 00:00:00+00:00,Áreas comuns,0.34122702
Falta sempre toalhas do quarto e papel higiênico. Tive que pedir várias vezes.,0,2024-05-24 00:00:00+00:00,Quarto,0.017207826
o colchão bem duro (para quem gosta não será problema),0,2024-02-02 13:08:29+00:00,Quarto,0.7803391
3 ar condicionado estavam desligados num calor absurdo logo pela manhã,0,2024-03-22 23:53:12+00:00,Quarto,0.012870167
"E ainda por cima tinha um refletor ligado a noite toda que clareava o quarto, reclamei e nada fizeram pra tentar resolver",0,2025-05-07 00:00:00+00:00,Quarto,0.014933486
Quarto muito quente (ar condicionado não é grande o suficiente ) e barulhento demais.,0,2025-03-21 18:50:48+00:00,Quarto,0.013808749
melhorar academia,0,2024-11-21 00:00:00+00:00,Áreas comuns,0.34122702
Da recepção mais ou menos.,0,2024-05-24 14:39:33+00:00,Atendimento da equipe,0.4521379
"em mais de uma situação essa equipe foi grossa e impaciente, ao ponto de interromper conversa com cliente para falar na rádio interna, revirar o olho e responder dúvidas ou realizar explicações com cara ruim",0,2024-03-19 18:37:23+00:00,Atendimento da equipe,0.010751866
Os travesseiros eram muito finos e moles,0,2025-05-30 00:00:00+00:00,Quarto,0.013809099
"Área externa da piscina , as poltronas tiraram as almofadas porque choveu, parou de chover não colocaram de novo.",0,2024-05-24 14:39:33+00:00,Áreas comuns,0.024448285
"Fizemos o check in, o recepcionista entregou os cartões e apenas apontou o elevador.",0,2024-08-16 23:42:17+00:00,Atendimento da equipe,0.5306098
"a maioria com a limpeza do quarto, e um problema crônico com a chave do quarto, me hospedei domingo e limparam o quarto na segunda e depois não limparam até quinta, quando reclamei com mais seriedade na recepção, aí limparam",0,2024-12-05 23:52:33+00:00,Quarto,0.019525962
"O sensor da porta do elevador não funciona direito, tomei uma portada e vi outros hóspedes tomando portada.",0,2025-03-14 08:03:25+00:00,Áreas comuns,0.05691008
"reclamei que colocaram nos com um bebê de 1 ano no quarto virado pra geral, onde passava várias motos barulhentas a noite toda e tinha vários motores de ar condicionado embaixo da nossa janela, um barulho que parecia um ônibus ligado",0,2025-05-07 00:00:00+00:00,Quarto,0.06704513
desde o serviço na piscina,0,2024-02-01 01:52:22+00:00,Áreas comuns,0.51230377
O aparelho de ar condicionado é bem antigo e não gela adequadamente.,0,2024-01-06 11:18:41+00:00,Quarto,0.02224035
Só faltou academia que já está no projeto deles para este ano,0,2024-01-19 13:21:33+00:00,Áreas comuns,0.7315386
Simples e antigos.,0,2025-04-25 00:00:00+00:00,Quarto,0.7572626
Em função do grande movimento teve dias em que a piscina estava meio turva,0,2024-01-11 00:22:37+00:00,Áreas comuns,0.28139716
"O ar condicionado, está muito sujo, perdi dois dias da minha viajem pois peguei uma alergia. O ar condicionado vc dava pra ver a sujeira, FAZ ANOS QUE NÃO LIMPAM.",0,2025-05-23 00:00:00+00:00,Quarto,0.011003235
aparelhos de ar condicionado apesar de funcionar são antigos e precisam de modernização,0,2024-11-26 12:14:16+00:00,Quarto,0.09374922
precisamos pedir 2x pra trocar as toalhas,0,2025-03-18 00:00:00+00:00,Quarto,0.3838137
"a limpeza das piscinas, tivemos que pedir pra limpar a piscina infantil onde estávamos, muitas folhas e bichos",0,2024-11-02 15:25:26+00:00,Áreas comuns,0.06614403
"jacuzzi aquecida, pena as piscinas não serem, não tendo como utilizar em julho",0,2025-07-23 18:40:10+00:00,Áreas comuns,0.033723358
Em função do grande movimento teve dias em que a piscina estava meio turva,0,2024-01-11 00:22:37+00:00,Áreas comuns,0.28139716
"A vedação acústica do meu quarto era ruim,.estava para rua e o barulho de carros e motos era muito nítido.",0,2024-04-19 12:56:50+00:00,Quarto,0.012068063
"Eles não queriam trocar nosso quarto, só trocaram depois que dissemos que não iríamos aceitar passar mais uma noite sem conseguir dormir devido ao calor.",0,2025-03-01 00:00:00+00:00,Quarto,0.011251678
"Um dia após meu check-out entraram em contato comigo dizendo que eu saí do hotel sem fazer check-out e que eu não havia pago o estacionamento, refutei indicando o horário em que fiz o check-out no balcão e que consultassem suas câmeras e que fizessem seu serviço de acordo!",0,2025-01-21 00:00:00+00:00,Atendimento da equipe,0.098218
Aparelhos de ar condicionado estavam desligados em plena manhã num calor absurdo,0,2024-03-22 00:00:00+00:00,Quarto,0.014752853
só achei o ar-condicionado do quarto fraco,0,2024-10-18 13:01:06+00:00,Quarto,0.019253388
Ar condicionado do quarto não resfria.,0,2024-11-28 00:00:00+00:00,Quarto,0.4949506
só achei o ar-condicionado do quarto fraco,0,2024-10-18 13:01:06+00:00,Quarto,0.019253388
"Nossos travesseiros eram bem finos, acredito que por serem velhos, precisam ser trocados.",0,2024-01-06 11:18:41+00:00,Quarto,0.012093849
Mas cobra estacionamento separadamente,0,2024-07-15 00:36:12+00:00,Áreas comuns,0.19413549
Quarto muito quente (ar condicionado não é grande o suficiente ) e barulhento demais.,0,2025-03-21 18:50:48+00:00,Quarto,0.013808749
"jacuzzi aquecida, pena as piscinas não serem, não tendo como utilizar em julho",0,2025-07-23 18:40:10+00:00,Áreas comuns,0.033723358
falta ventilador no elevador,0,2024-01-01 21:04:19+00:00,Áreas comuns,0.18196847
academia fraca,0,2025-08-10 00:00:00+00:00,Áreas comuns,0.720637
"Apontaram o elevador e disseram (praticamente): ""É por ali"".",0,2024-08-20 17:01:49+00:00,Áreas comuns,0.23096265
Da recepção mais ou menos.,0,2024-05-24 00:00:00+00:00,Atendimento da equipe,0.4521379
"O ar condicionado chovia pela máquina dentro do quarto, a noite inteira escorrendo e pingando água dentro do quarto, máquina antiga e faz muito barulho",0,2025-04-22 15:26:08+00:00,Quarto,0.012604755
"O único porém foi o ar condicionado que não estava dando conta do calor, 35 graus, precisou de algumas horas para refrescar ( o quarto ficava no final do corredor).",0,2024-11-21 00:00:00+00:00,Quarto,0.07660102
O chão do quarto todo ensebado grudento,0,2024-01-18 00:00:00+00:00,Quarto,0.017289689
"Área externa da piscina , as poltronas tiraram as almofadas porque choveu, parou de chover não colocaram de novo.",0,2024-05-24 14:39:33+00:00,Áreas comuns,0.024448285
Recepção pouco cordial e pouco treinada,0,2025-08-10 00:00:00+00:00,Atendimento da equipe,0.063297965
"Cheguei a ficar 10 minutos esperando o elevador, pois o mesmo elevador utilizado pelos hóspedes é utilizado pela equipe do hotel com aqueles carrinhos de serviço que são grandes.",0,2025-03-14 08:03:25+00:00,Áreas comuns,0.06614783
"A vedação acústica do meu quarto era ruim,.estava para rua e o barulho de carros e motos era muito nítido.",0,2024-04-19 12:56:50+00:00,Quarto,0.012068063
as toalhas poderiam ser maiores e mais macias.,0,2025-05-30 00:00:00+00:00,Quarto,0.44440272
melhorar academia,0,2024-11-21 00:00:00+00:00,Áreas comuns,0.34122702
"música da piscina, achei muito alta, no dia que fui estava tocando Eminem, achei cansativo",0,2024-01-24 00:00:00+00:00,Áreas comuns,0.012692526
Ar condicionado não deveria ser limpo há anos.,0,2025-04-25 00:00:00+00:00,Quarto,0.0170963
Recepção pouco cordial e pouco treinada,0,2025-08-10 00:00:00+00:00,Atendimento da equipe,0.063297965
Recepção pouco cordial e pouco treinada,0,2025-08-10 00:00:00+00:00,Atendimento da equipe,0.063297965
Os travesseiros eram muito finos e moles,0,2025-05-30 00:00:00+00:00,Quarto,0.013809099
"Está sujo e barulhento, pois está em reforma e não falaram nada.",0,2024-05-24 14:39:33+00:00,Quarto,0.010305911
limpeza e arrumação do quarto bem ruins,0,2025-08-10 00:00:00+00:00,Quarto,0.020789532
melhorar academia,0,2024-11-21 00:00:00+00:00,Áreas comuns,0.34122702
"Alguns Funcionários da recepção necessitam de um bom treinamento para atendimento aos hóspedes. Falta-lhes cortesia, bom senso e vontade.",0,2024-02-07 01:42:28+00:00,Atendimento da equipe,0.045312013
E a fechadura ainda não estava funcionando bem.,0,2024-08-16 23:42:17+00:00,Quarto,0.03913022
na área da piscina ficam tocando música alta o dia inteiro e escuta tudo nos quartos,0,2024-05-13 18:29:21+00:00,Áreas comuns,0.45850843
melhorar academia,0,2024-11-21 00:00:00+00:00,Áreas comuns,0.34122702
"o hotel tem estacionamento próprio, porém não tem menção de cobrança adicional, a surpresa vem na hora da reserva, particularmente não gosto de coisas assim",0,2024-01-28 23:49:14+00:00,Áreas comuns,0.022304123
Só faltou academia que já está no projeto deles para este ano,0,2024-01-19 13:21:33+00:00,Áreas comuns,0.7315386
aparelhos de ar condicionado apesar de funcionar são antigos e precisam de modernização,0,2024-11-26 12:14:16+00:00,Quarto,0.09374922
melhorar academia,0,2024-11-21 00:00:00+00:00,Áreas comuns,0.34122702
"Eles não queriam trocar nosso quarto, só trocaram depois que dissemos que não iríamos aceitar passar mais uma noite sem conseguir dormir devido ao calor.",0,2025-03-01 00:00:00+00:00,Quarto,0.011251678
O aparelho de ar condicionado é bem antigo e não gela adequadamente.,0,2024-01-06 11:18:41+00:00,Quarto,0.02224035
a única coisa que fiquei meia chateada foi com a recepção na hora do chekin,0,2024-04-04 23:19:50+00:00,Atendimento da equipe,0.056851376
melhorar academia,0,2024-11-21 00:00:00+00:00,Áreas comuns,0.34122702
aparelhos de ar condicionado apesar de funcionar são antigos e precisam de modernização,0,2024-11-26 12:14:16+00:00,Quarto,0.09374922
precisamos pedir 2x pra trocar as toalhas,0,2025-03-18 00:00:00+00:00,Quarto,0.3838137
melhorar academia,0,2024-11-21 00:00:00+00:00,Áreas comuns,0.34122702
"em mais de uma situação essa equipe foi grossa e impaciente, ao ponto de interromper conversa com cliente para falar na rádio interna, revirar o olho e responder dúvidas ou realizar explicações com cara ruim",0,2024-03-19 18:37:23+00:00,Atendimento da equipe,0.010751866
"o hotel tem estacionamento próprio, porém não tem menção de cobrança adicional, a surpresa vem na hora da reserva, particularmente não gosto de coisas assim",0,2024-01-28 23:49:14+00:00,Áreas comuns,0.022304123
"Um dia após meu check-out entraram em contato comigo dizendo que eu saí do hotel sem fazer check-out e que eu não havia pago o estacionamento, refutei indicando o horário em que fiz o check-out no balcão e que consultassem suas câmeras e que fizessem seu serviço de acordo!",0,2025-01-21 00:00:00+00:00,Atendimento da equipe,0.098218
Os travesseiros eram muito finos e moles,0,2025-05-30 00:00:00+00:00,Quarto,0.013809099
O hotel deu pouca atenção a este caso somente comentando que a camareira esqueceu a porta aberta,0,2025-01-24 03:25:27+00:00,Atendimento da equipe,0.01098112
"a limpeza das piscinas, tivemos que pedir pra limpar a piscina infantil onde estávamos, muitas folhas e bichos",0,2024-11-02 15:25:26+00:00,Áreas comuns,0.06614403
O chão do quarto todo ensebado grudento,0,2024-01-18 00:00:00+00:00,Quarto,0.017289689
"O ar condicionado chovia pela máquina dentro do quarto, a noite inteira escorrendo e pingando água dentro do quarto, máquina antiga e faz muito barulho",0,2025-04-22 15:26:08+00:00,Quarto,0.012604755
só achei o ar-condicionado do quarto fraco,0,2024-10-18 13:01:06+00:00,Quarto,0.019253388
Da recepção mais ou menos.,0,2024-05-24 14:39:33+00:00,Atendimento da equipe,0.4521379
Ar condicionado do quarto não resfria.,0,2024-11-28 00:00:00+00:00,Quarto,0.4949506
melhorar academia,0,2024-11-21 00:00:00+00:00,Áreas comuns,0.34122702
Quarto sujo,0,2024-01-18 00:00:00+00:00,Quarto,0.2795144
Ar condicionado do quarto não resfria.,0,2024-11-28 00:00:00+00:00,Quarto,0.4949506
Falta sempre toalhas do quarto e papel higiênico. Tive que pedir várias vezes.,0,2024-05-24 00:00:00+00:00,Quarto,0.017207826
os travesseiros eram ruins,0,2024-03-19 18:37:23+00:00,Quarto,0.013750492
"O blackout não bloqueia a luz direito, o quarto fica claro.",0,2024-01-06 11:18:41+00:00,Quarto,0.2442413
O aparelho de ar condicionado é bem antigo e não gela adequadamente.,0,2024-01-06 11:18:41+00:00,Quarto,0.02224035
deixou MUITO a desejar em relação a limpeza do quarto 403,0,2024-07-21 00:00:00+00:00,Quarto,0.9636011
"Piscinas excelentes, porém vi alguns bichos nela, poderiam limpar com uma frequencia maior",0,2024-11-14 14:49:35+00:00,Áreas comuns,0.6875877
O chão do quarto todo ensebado grudento,0,2024-01-18 00:00:00+00:00,Quarto,0.017289689
